reporting_year,reporting_entity,facility_name,row_type,state,grid_connected,grid,primary_fuel,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,jv_double_counted,important_notes
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Glennies Creek WCMG Power Station,F,NSW,On,NEM,Waste Coal Mine Gas,331564.0,92101.0,48417.0,3.0,48420,0.53,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grange Avenue LFG Power Station,F,NSW,On,NEM,Landfill Gas,16149.0,4486.0,319.0,4.0,323,0.07,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 1 WCMG Power Station,F,QLD,On,NEM,Waste Coal Mine Gas,510305.0,141752.0,80510.0,6.0,80516,0.57,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Grosvenor 2 WCMG Power Station,F,QLD,On,NEM,Waste Coal Mine Gas,345750.0,96042.0,55380.0,4.0,55384,0.58,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Halls Creek LNG Power Station,F,WA,Off,Off-grid,Gas,42069.0,11686.0,7581.0,0.0,7581,0.65,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Jack's Gully LFG Power Station,F,NSW,On,NEM,Landfill Gas,32506.0,9029.0,699.0,1.0,700,0.08,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Kalamunda Power Station,F,WA,On,SWIS,Diesel,0.0,0.0,1.0,0.0,1,0.0,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Laverton Facility,F,WA,Off,Off-grid,Diesel,14461.0,4017.0,2861.0,0.0,2861,0.71,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Leonora Facility,F,WA,Off,Off-grid,Gas,29410.0,8170.0,6311.0,0.0,6311,0.77,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Looma NGD Power Station,F,WA,Off,Off-grid,Diesel,9087.0,2524.0,1869.0,0.0,1869,0.74,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 1 LFG Power Station,F,NSW,On,NEM,Landfill Gas,43250.0,12014.0,943.0,3.0,946,0.08,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Lucas Heights 2 LFG Power Station,F,NSW,On,NEM,Landfill Gas,418510.0,116253.0,9383.0,2.0,9385,0.08,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,McArthur River Power Station,F,NT,Off,Off-grid,Gas,1182344.0,328429.0,168784.0,0.0,168784,0.51,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Menzies Facility,F,WA,Off,Off-grid,Diesel,2251.0,625.0,501.0,0.0,501,0.8,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Moranbah North CMM Power Station,F,QLD,On,NEM,Waste Coal Mine Gas,1298272.0,360631.0,213038.0,16.0,213054,0.59,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Mugga Lane LFG Power Station,F,ACT,On,NEM,Landfill Gas,0.0,0.0,0.0,3.0,3,0.0,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek II WCMG Power Station,F,QLD,On,NEM,Waste Coal Mine Gas,334009.0,92780.0,52701.0,40.0,52741,0.57,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Oaky Creek WCMG Power Station,F,QLD,On,NEM,Waste Coal Mine Gas,281532.0,78203.0,40593.0,62.0,40655,0.52,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Pine Creek A Power Station,F,NT,On,DKIS,Gas,765667.0,212685.0,99718.0,0.0,99718,0.47,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Red Hill LFG Power Station,F,WA,On,SWIS,Landfill Gas,77397.0,21499.0,1654.0,2.0,1656,0.08,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Springvale LFG Power Station,F,VIC,On,NEM,Landfill Gas,22268.0,6186.0,480.0,4.0,484,0.08,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tahmoor WCMG Power Station,F,NSW,On,NEM,Waste Coal Mine Gas,173792.0,48276.0,27460.0,5.0,27465,0.57,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tamala Park LFG Power Station,F,WA,On,SWIS,Landfill Gas,117355.0,32599.0,2505.0,3.0,2508,0.08,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Tower CSM Power Station,F,NSW,On,NEM,Waste Coal Mine Gas,587770.0,163269.0,105330.0,24.0,105354,0.65,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Warmun Facility,F,WA,Off,Off-grid,Diesel,9427.0,2619.0,1972.0,0.0,1972,0.75,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Weipa Solar Power Station,F,QLD,Off,Off-grid,Solar,9029.0,2508.0,0.0,11.0,11,0.0,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 1 LFG Power Station,F,SA,On,NEM,Landfill Gas,23767.0,6602.0,886.0,4.0,890,0.13,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wingfield 2 LFG Power Station,F,SA,On,NEM,Landfill Gas,62744.0,17429.0,1327.0,2.0,1329,0.08,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Wonthaggi Wind Farm,F,VIC,On,NEM,Wind,81626.0,22674.0,4.0,47.0,51,0.0,False,
2020-21,CK WILLIAM AUSTRALIA HOLDINGS PTY LTD,Corporate Total,C,,,,,10274576.0,2854049.0,1462684.0,961.0,1463645,,False,
