Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment
SRPXVC60,Goodman McCormick Solar System - Solar - VIC,VIC,0.6001,3194,Solar,7/11/2021,Unsuspended,0,n/a
SRPXVC59,Uniqlo Solar System - Solar - VIC,VIC,0.3009,3029,Solar,7/11/2021,Unsuspended,0,n/a
SRPVSAP4,Donovans Dairy - Solar w SGU - SA,SA,0.248,5291,Solar,8/11/2021,Unsuspended,0,n/a
SRPVSAP3,"ISPT Cheltenham Parade, St Clair - Solar - SA",SA,0.2832,5011,Solar,8/11/2021,Unsuspended,0,n/a
SRPVSAP5,Aldinga Wastewater Treatment Plant Reserve (ALDWWTP) - Solar - SA,SA,1.5185,5173,Solar,10/11/2021,Unsuspended,0,n/a
SRPXNS50,Parkes Hospital - 451.44kW - Solar w SGU - NSW,NSW,0.4514,2870,Solar,10/11/2021,Unsuspended,0,n/a
SRPVSAP2,Streaky Bay Energy Project - Solar - SA,SA,3.3844,5680,Solar,15/11/2021,Unsuspended,0,n/a
SRPXVC63,Assisi Aged Care - Solar - VIC,VIC,0.2986,3084,Solar,16/11/2021,Unsuspended,0,n/a
SRPXNS53,Leppington Railway Station - Solar - NSW,NSW,0.6938,2179,Solar,16/11/2021,Unsuspended,0,n/a
SRPXNS52,Cobar Water Board Hermidale - Solar - NSW,NSW,0.5997,2831,Solar,17/11/2021,Unsuspended,0,n/a
SRPXNS51,Cobar Water Board Nyngan - Solar - NSW,NSW,0.5997,2825,Solar,17/11/2021,Unsuspended,0,n/a
SRPVQLS8,Western Downs Green Power Hub - Solar - QLD,QLD,460.011,4413,Solar,17/11/2021,Unsuspended,0,n/a
SRPXVC64,CUB Abbotsford - Solar - VIC,VIC,1.7401,3067,Solar,18/11/2021,Unsuspended,0,n/a
SRPVSAP0,JAP-Solar-SA,SA,3.366,5690,Solar,19/11/2021,Unsuspended,0,n/a
SRPXNS42,Sebastopol Solar Farm - Solar - NSW,NSW,110.6132,2666,Solar,19/11/2021,Unsuspended,0,n/a
SRPVWAE8,Tellus Sandy Ridge - Solar - WA,WA,1.0752,6429,Solar,23/11/2021,Unsuspended,0,n/a
SRPXNS54,Breakers Club Carpark - Solar w/ SGU - NSW,NSW,0.3459,2260,Solar,24/11/2021,Unsuspended,0,n/a
HYMCTA08,Little Fisher Hydro Power Station TAS,TAS,0.8,7304,Hydro,25/11/2021,Unsuspended,0,n/a
