facility_id,facility_name,state,primary_fuel,match_status,match_score,accreditation_code,station_name,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,committed_date,suspension_status,baseline_mwh,cer_source_type,use_for_geocoding,lat,lon,geocode_source
315,Woolnorth Studland Bay Wind Farm Pty Ltd,TAS,Wind,fuzzy,100.0,WD00TA04,Woolnorth Studland Bay,7330.0,75.0,Wind,2007-01-30,,,Unsuspended,0.0,historical_accredited,True,-40.9244621,144.9987111,nominatim_postcode
316,SNOWTOWN SOUTH WIND FARM,SA,Wind,exact,100.0,WD00SA17,Snowtown South Wind Farm,5520.0,126.0,Wind,2013-10-02,,,Unsuspended,0.0,historical_accredited,True,-33.786222,138.1766908,nominatim_postcode
317,Snowtown Wind Farm,SA,Wind,exact,100.0,WD00SA09,Snowtown Wind Farm,5520.0,100.8,Wind,2007-12-24,,,Unsuspended,0.0,historical_accredited,True,-33.786222,138.1766908,nominatim_postcode
318,SNOWTOWN WIND FARM STAGE 2,SA,Wind,exact,100.0,WD00SA16,Snowtown Wind Farm Stage 2,5520.0,144.0,Wind,2013-10-01,,,Unsuspended,0.0,historical_accredited,True,-33.786222,138.1766908,nominatim_postcode
319,Angaston Power Station,SA,Liquid Fuel,nger_only,,,,,,,,,,,,,,,,
320,Colongra Power Station,NSW,Gas,nger_only,,,,,,,,,,,,,,,,
321,HEZ Power Station,NSW,Diesel,nger_only,,,,,,,,,,,,,,,,
322,Laverton North Power Station,VIC,Gas,nger_only,,,,,,,,,,,,,,,,
323,Lonsdale/Port Stanvac Power Station,SA,Diesel,nger_only,,,,,,,,,,,,,,,,
324,Snowy Hydro Ltd,NSW,Hydro,nger_only,,,,,,,,,,,,,,,,
325,Valley Power,VIC,Gas,nger_only,,,,,,,,,,,,,,,,
326,Barron Gorge Power Station,QLD,Hydro,exact,100.0,HY00QL02,Barron Gorge,4881.0,66.0,Hydro,2001-04-01,,,Unsuspended,202914.0,historical_accredited,True,-16.8334363,145.5960416,nominatim_postcode
327,Kareeya Power Station,QLD,Hydro,exact,100.0,HY00QL01,Kareeya,4854.0,86.4,Hydro,2001-04-01,,,Unsuspended,417233.0,historical_accredited,True,-17.9289418,145.9260342,nominatim_postcode
328,Mackay Gas Turbine,QLD,Diesel,nger_only,,,,,,,,,,,,,,,,
329,Mica Creek Power Station,QLD,Gas,nger_only,,,,,,,,,,,,,,,,
